hito1;hito2;exitosos;fallidos;sol1;programa
28.0;0.0;15;16;5.2;UNAB21503
17.0;0;10;6;5.2;UNAB22100
25.0;0;13;3;5.2;UNAB12210
32.0;0.0;16;15;5.2;UNAB11500
13.0;0;8;8;5.2;UNAB22100
22.0;0;12;4;5.2;UNAB12210
16.0;0.0;8;23;5.2;UNAB11500
14.0;0;8;8;5.2;UNAB12210
24.0;0.0;13;18;5.2;UNAB11500
32.0;0.0;16;15;5.2;UNAB12210
12.0;0;8;8;5.2;UNAB12210
32.0;0.0;16;15;5.2;UNAB12210
26.0;0.0;13;18;5.2;UNAB12210
22.0;0;12;4;5.2;UNAB11500
10.0;0;6;10;5.2;UNAB12210
16.0;0.0;8;23;5.2;UNAB12210
11.0;0;7;9;5.2;UNAB12100
19.0;0;11;5;5.2;UNAB12210
0.0;0;0;16;5.3;UNAB22115
0.0;0;0;16;5.3;UNAB22115
23.0;0.0;12;19;5.3;UNAB11500
7.0;0.0;5;26;5.3;UNAB12100
24.0;0.0;13;18;5.3;UNAB11500
20.0;0;11;5;5.3;UNAB11500
10.0;0;6;10;5.3;UNAB12100
32.0;0.0;16;15;5.3;UNAB21500
27.0;0;14;2;5.3;UNAB21500
32.0;0;16;0;5.3;UNAB11500
21.0;0;12;4;5.4;UNAB21503
0;0;0;0;5.4;UNAB21503
0;0;0;0;5.4;UNAB22115
29.0;0;15;1;5.4;UNAB22100
17.0;0;10;6;5.4;UNAB11500
0.0;0.0;0;31;5.4;UNAB11500
10.0;0.0;7;24;5.4;UNAB11500
32.0;0.0;16;15;5.4;UNAB11500
28.0;0.0;15;16;5.4;UNAB12210
15.0;0;8;8;5.4;UNAB12100
22.0;0;12;4;5.4;UNAB11500
32.0;0;16;0;5.4;UNAB12210
30.0;0.0;15;16;5.4;UNAB12210
